Average Reward,Percentage of correct action
2.6003205641301554,0.99704
2.950944180790638,0.99525
2.8085425011833234,0.97706
2.594867326446035,0.99753
3.4176372954265033,0.99762
3.337143781890573,0.00461
4.348882293315814,0.99935
4.858603951507719,0.99952
2.7660029003971074,0.9991
1.9400199145383266,0.91167
2.4955972851990667,0.99827
3.118872746832564,0.99896
2.8360628022907908,0.0017
2.8912831178239315,0.79436
1.5664872706271082,0.0041
1.7563575106727356,0.9984
1.8810176348518353,0.18618
2.0691233619368945,0.93589
4.442025457658,0.99454
2.2531034999109756,0.99833
4.713871800878013,0.99965
0.5938593699325385,0.0468
1.3068349513950497,0.99491
2.1153760038368836,0.52458
4.297480265235439,0.99912
2.2064640934661073,0.00206
1.882961137247951,0.98937
3.3854623320361767,0.00916
1.2697680128202566,0.94403
3.5615442299496762,0.93663
3.2927659951703214,0.99328
3.107443116271403,0.99685
3.113992696279423,0.02315
3.530455427812127,0.99956
4.90716219040109,0.99962
3.0324775833524606,0.99625
3.1387047976344364,0.99765
2.527820246008364,0.998
3.6739283105496874,0.99853
1.258878651745132,0.11102
3.777920617150025,0.99854
2.7065231367230917,0.9987
6.354319570461061,0.99985
1.2757830786586324,0.87251
2.9137999211487347,0.7196
4.841380125952153,0.99688
4.359763877842612,0.99689
2.4315055805012724,0.98237
0.6235996320023661,0.92509
3.0258700042449,0.9898
3.0528123039550845,0.99957
4.428115379091522,0.99815
2.4459279399111256,0.99867
2.747667790238029,0.89598
1.4296852888660514,0.80038
4.677620979333168,0.99972
3.755788564193527,0.99896
1.8892282546847037,0.91783
1.0479357428381548,0.97663
2.2770063002689485,0.69581
3.8020809885315017,0.99656
2.3963633449493864,0.98635
1.9391263583748413,0.99192
3.0960116297161084,0.94608
3.0778858512568195,0.84547
1.6900539454224068,0.96347
3.8512754536761213,0.98423
1.8423131798498973,0.4702
0.8434366210309648,0.95647
3.6959529996307525,0.99892
4.245384026998994,0.99954
3.115687132459056,0.98853
4.502101092435244,0.99835
5.766818392957116,0.98675
5.626340595881696,0.98517
3.419091998678278,0.99868
2.8576998271011864,0.99924
3.0650458697624265,0.97054
3.2787421916547563,0.99351
3.9254817146023417,0.99929
1.8188848925483625,0.97093
3.793387516386598,0.99967
4.370562782067766,0.99946
5.216819866295905,0.99827
2.9927330798742764,0.99892
5.1260263182592825,0.99957
2.440407302024666,0.99554
4.436818743948289,0.98161
2.181255066692644,0.99739
1.8975722697655157,0.28913
4.5395767673751335,0.99951
3.2563898335169106,0.99675
1.3978412615383615,0.98455
1.8359509175107294,0.81271
2.86370541539835,0.99803
2.9233746642154017,0.99783
3.223926077380469,0.99724
1.2393865918866265,0.86705
5.086626190957818,0.96224
3.0110865165261553,0.00161
1.7308020382194498,0.99574
-0.657461397845221,0.98154
4.3594283709379,0.99936
4.674587541210118,0.99921
3.311554393587283,0.98179
1.6375695956304717,0.96139
1.6844025669030334,0.99393
1.8366034523131005,0.9952
2.312833254456818,0.99226
4.457873667068983,0.99943
3.3652343061925576,0.99949
4.4554154316339645,0.00393
3.122053328432606,0.68711
3.167270985476549,0.98754
3.392635484421665,0.9968
5.130954155500078,0.97847
2.5047533060682876,0.93748
3.251278418188175,0.99895
3.3926956744041963,0.99889
3.0129578507759804,0.99805
3.3056822502348058,0.68585
4.609454664031985,0.99698
3.4187063614740376,0.99768
3.9881034922664815,0.99948
1.7955938651424146,0.98933
2.2223613097877464,0.83346
4.258687790349621,0.99917
3.8632220874828835,0.99939
3.605210603140351,0.99935
2.8839262885557053,0.98676
2.2690262886912165,0.98473
3.3132912320631953,0.99794
1.360494738563632,0.91809
1.692361412899289,0.99192
4.561951869045958,0.99933
3.5657698101623856,0.9991
2.406658790750688,0.99922
1.404324099417334,0.79557
2.5923395676559964,0.99725
2.443418914211449,0.99701
2.8260181401664153,0.99519
2.5870737627054687,0.96896
1.3770645742245575,0.14453
3.1799725051156433,0.99091
6.122154920656766,0.99119
2.8879054611380375,0.99833
2.797846900602594,0.95223
5.558194996645704,0.99026
2.7476872368278693,0.54134
3.3074263467319835,0.99906
3.186682374465037,0.6397
3.0035338443596813,0.99338
2.914119172146087,0.99865
3.8785433051534586,0.99847
2.082031781788538,0.60769
3.1643322652752697,0.00728
1.6541245948082834,0.02844
0.06962678313094327,0.04998
2.3238829768383966,0.838
2.093676757741535,0.99603
3.8265548839499877,0.99726
